Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
mermaid,2014-11-01T23:52:32Z,2272,142,2025-03-02T20:38:16Z,TypeScript,100,0
dify,2023-04-12T07:40:24Z,5063,120,2025-03-02T21:54:03Z,TypeScript,100,0
v2rayN,2019-07-30T03:47:24Z,198,236,2025-03-02T21:16:20Z,C#,100,0
LeetCodeAnimation,2018-12-06T08:01:22Z,63,0,2025-03-02T20:21:38Z,Java,42,19
llama.cpp,2023-03-10T18:58:00Z,4146,1000,2025-03-02T21:12:24Z,C++,100,0
manim,2015-03-22T18:50:58Z,625,13,2025-03-02T21:42:37Z,Python,92,8
Font-Awesome,2012-02-17T14:19:43Z,209,59,2025-03-02T21:05:42Z,JavaScript,100,0
json-server,2013-11-27T13:21:13Z,121,38,2025-03-02T21:46:06Z,JavaScript,89,11
netdata,2013-06-17T18:39:10Z,10027,108,2025-03-02T17:34:43Z,C,100,0
awesome-interview-questions,2015-11-28T09:48:17Z,176,0,2025-03-02T18:09:46Z,N/A,34,27
gpt4all,2023-03-27T18:49:32Z,937,38,2025-03-02T21:15:13Z,C++,99,1
awesome-vue,2015-10-20T00:16:14Z,3544,0,2025-03-02T19:31:32Z,N/A,89,11
awesome-for-beginners,2015-10-24T19:53:36Z,432,0,2025-03-02T19:06:45Z,N/A,100,0
elasticsearch,2010-02-08T13:20:56Z,73991,172,2025-03-02T21:53:35Z,Java,100,0
github-readme-stats,2020-07-09T10:34:22Z,1227,0,2025-03-02T21:01:31Z,JavaScript,99,1
generative-ai-for-beginners,2023-06-19T16:28:59Z,318,0,2025-03-02T21:08:35Z,Jupyter Notebook,100,0
funNLP,2018-08-21T11:20:39Z,14,0,2025-03-02T19:16:19Z,Python,47,30
ML-For-Beginners,2021-03-03T01:34:05Z,371,0,2025-03-02T21:13:56Z,HTML,100,0
vite,2020-04-21T05:03:57Z,5125,529,2025-03-02T21:40:12Z,TypeScript,100,0
code-server,2019-02-27T16:50:41Z,1517,174,2025-03-02T21:32:53Z,TypeScript,99,1
stable-diffusion,2022-08-10T14:36:44Z,5,0,2025-03-02T21:41:25Z,Jupyter Notebook,28,72
playwright,2019-11-15T18:32:42Z,14105,141,2025-03-02T20:55:17Z,TypeScript,100,0
nest,2017-02-04T20:12:52Z,6843,113,2025-03-02T21:05:43Z,TypeScript,100,0
devops-exercises,2019-10-03T17:31:21Z,282,0,2025-03-02T21:44:05Z,Python,61,31
Front-End-Checklist,2017-10-16T10:12:36Z,179,1,2025-03-02T18:05:39Z,N/A,100,0
HowToCook,2020-02-29T10:43:49Z,519,3,2025-03-02T19:54:01Z,Dockerfile,57,43
moby,2013-01-18T18:10:57Z,20752,213,2025-03-02T18:55:21Z,Go,100,0
ComfyUI,2023-01-17T03:15:56Z,665,40,2025-03-02T20:54:26Z,Python,77,23
system-design-101,2023-09-18T20:52:03Z,21,0,2025-03-02T20:44:37Z,N/A,15,35
flask,2010-04-06T11:11:59Z,1590,35,2025-03-02T21:31:07Z,Python,100,0
screenshot-to-code,2023-11-14T17:53:32Z,45,0,2025-03-02T21:47:43Z,Python,93,7
node,2023-02-01T13:55:02Z,142,44,2025-03-02T15:13:36Z,Shell,99,1
hoppscotch,2019-08-21T13:15:24Z,1669,64,2025-03-02T20:18:58Z,TypeScript,100,0
reveal.js,2011-06-07T18:54:22Z,405,47,2025-03-02T18:36:12Z,JavaScript,100,0
fzf,2013-10-23T16:04:23Z,565,60,2025-03-02T21:53:36Z,Go,100,0
cs-video-courses,2016-10-21T17:02:11Z,169,0,2025-03-02T21:52:34Z,N/A,100,0
swift,2015-10-23T21:15:07Z,52462,57,2025-03-02T16:51:37Z,C++,69,31
redis,2009-03-21T22:32:25Z,3958,78,2025-03-02T15:59:40Z,C,94,6
syncthing,2013-11-26T09:48:21Z,2610,396,2025-03-02T21:13:10Z,Go,99,1
gpt_academic,2023-03-20T09:05:13Z,222,32,2025-03-02T18:38:03Z,Python,100,0
awesome-machine-learning,2014-07-15T19:11:19Z,849,0,2025-03-02T20:42:57Z,Python,91,0
awesome-react,2014-08-06T05:31:44Z,779,0,2025-03-02T20:05:08Z,N/A,99,1
grafana,2013-12-11T15:59:56Z,51278,495,2025-03-02T21:10:20Z,TypeScript,100,0
protobuf,2014-08-26T15:52:15Z,6847,181,2025-03-02T21:18:03Z,C++,100,0
express,2009-06-26T18:56:01Z,411,159,2025-03-02T18:12:34Z,JavaScript,100,0
d2l-zh,2017-08-23T04:40:24Z,1019,16,2025-03-02T17:50:30Z,Python,0,0
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,428,0,2025-03-02T18:51:47Z,N/A,68,32
cpython,2017-02-10T19:23:51Z,48625,0,2025-03-02T21:35:11Z,Python,100,0
Chart.js,2013-03-17T23:56:36Z,2985,114,2025-03-02T21:13:49Z,JavaScript,100,0
uptime-kuma,2021-07-03T01:02:42Z,1221,109,2025-03-02T21:55:13Z,JavaScript,93,7
strapi,2015-09-30T15:34:48Z,8769,444,2025-03-02T21:14:32Z,TypeScript,100,0
Ventoy,2020-03-10T15:19:19Z,280,103,2025-03-02T21:15:17Z,C,89,11
webpack,2012-03-10T10:08:14Z,4852,421,2025-03-02T16:33:09Z,JavaScript,100,0
tesseract,2014-08-12T18:04:59Z,1402,33,2025-03-02T20:54:11Z,C++,100,0
33-js-concepts,2018-09-04T13:27:04Z,250,0,2025-03-02T20:26:40Z,JavaScript,81,19
superset,2015-07-21T18:55:34Z,13918,219,2025-03-02T19:39:03Z,TypeScript,100,0
ansible,2012-03-06T14:58:02Z,38729,133,2025-03-02T21:56:31Z,Python,100,0
interviews,2017-02-14T18:19:25Z,42,0,2025-03-02T17:06:01Z,Java,23,30
n8n,2019-06-22T09:24:21Z,8785,296,2025-03-02T21:53:19Z,TypeScript,100,0
