Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas,Idade (anos),Dias desde última atualização,Taxa de Fechamento de Issues
awesome-public-datasets,2014-11-20 06:20:50+00:00,188,1,2025-02-23 20:43:17+00:00,,47,53,10.26849315068493,0,0.47
tabby,2016-12-23 09:06:10+00:00,1474,195,2025-02-23 20:34:15+00:00,TypeScript,99,1,8.175342465753424,0,0.99
awesome-cpp,2014-07-17 08:51:11+00:00,772,0,2025-02-23 20:31:27+00:00,,57,43,10.613698630136986,0,0.57
openai-cookbook,2022-03-11 02:08:53+00:00,673,0,2025-02-23 17:35:00+00:00,MDX,100,0,2.958904109589041,0,1.0
echarts,2013-04-03 03:18:59+00:00,1353,118,2025-02-23 19:55:06+00:00,TypeScript,100,0,11.901369863013699,0,1.0
caddy,2015-01-13 19:45:03+00:00,2041,123,2025-02-23 18:18:51+00:00,Go,100,0,10.12054794520548,0,1.0
socket.io,2010-03-11 18:24:48+00:00,435,75,2025-02-23 17:05:43+00:00,TypeScript,100,0,14.967123287671233,0,1.0
nocode,2018-02-06 23:54:00+00:00,1,1,2025-02-23 14:56:30+00:00,Dockerfile,19,81,7.049315068493151,0,0.19
scikit-learn,2010-08-17 09:43:38+00:00,12900,45,2025-02-23 19:36:05+00:00,Python,99,1,14.531506849315068,0,0.99
redux,2015-05-29 23:53:15+00:00,1708,78,2025-02-23 18:25:05+00:00,TypeScript,100,0,9.745205479452055,0,1.0
SecLists,2012-02-19 01:30:18+00:00,657,27,2025-02-23 20:10:14+00:00,PHP,100,0,13.021917808219179,0,1.0
Java,2016-07-16 10:21:02+00:00,1846,0,2025-02-23 18:47:13+00:00,Java,100,0,8.613698630136986,0,1.0
AppFlowy,2021-06-16 12:56:48+00:00,3496,98,2025-02-23 20:39:58+00:00,Dart,90,10,3.6931506849315068,0,0.9
Apollo-11,2014-04-03 15:45:02+00:00,341,0,2025-02-23 17:47:53+00:00,Assembly,99,1,10.901369863013699,0,0.99
awesome-scalability,2017-12-27 03:46:40+00:00,36,0,2025-02-23 19:27:03+00:00,,0,0,7.164383561643835,0,
cs-self-learning,2021-10-20 13:43:42+00:00,269,4,2025-02-23 20:27:45+00:00,HTML,61,39,3.347945205479452,0,0.61
atom,2012-01-20 18:18:21+00:00,3937,538,2025-02-23 20:17:24+00:00,JavaScript,100,0,13.104109589041096,0,1.0
lodash,2012-04-07 04:11:46+00:00,581,2,2025-02-23 19:44:20+00:00,JavaScript,100,0,12.89041095890411,0,1.0
architect-awesome,2018-04-06 13:30:58+00:00,49,0,2025-02-23 15:48:15+00:00,,22,49,6.890410958904109,0,0.30985915492957744
Front-end-Developer-Interview-Questions,2012-02-09 23:34:10+00:00,484,0,2025-02-23 15:50:26+00:00,Nunjucks,99,1,13.046575342465754,0,0.99
